object_name,type,M,R,C,Lambda,log10_Lambda,log10_P1,gamma1,gamma2,gamma3,P_c_cgs
PSR_J0030_Riley,NICER,1.414507122951685,12.550996053653138,0.1664168053104855,565.8346479176101,2.752689537215559,34.38,3.0,2.98,2.85,1.414507122951685e+35
PSR_J0030_Riley,NICER,1.5684544784612038,12.440723619068164,0.18616434709502636,257.57478040921774,2.410903338247963,34.38,3.0,2.98,2.85,1.5684544784612038e+35
PSR_J0030_Riley,NICER,1.5768819223261088,13.592549938525845,0.1713043818323552,443.4322478592317,2.6468272732576255,34.38,3.0,2.98,2.85,1.5768819223261088e+35
PSR_J0030_Riley,NICER,1.4213840065378949,12.177069653265669,0.17236094603397212,426.0010038411579,2.6294106224880753,34.38,3.0,2.98,2.85,1.4213840065378948e+35
PSR_J0030_Riley,NICER,1.3762943407349053,10.509727718643534,0.19337044395893588,183.4696924008536,2.263564332837873,34.38,3.0,2.98,2.85,1.3762943407349053e+35
PSR_J0030_Riley,NICER,1.2556568706138542,11.545244211615413,0.16059724412757317,699.1601821440477,2.8445766868352576,34.38,3.0,2.98,2.85,1.2556568706138541e+35
PSR_J0030_Riley,NICER,1.2037963886718184,11.085850743464416,0.1603445650666052,746.2069459534536,2.8728592872875183,34.38,3.0,2.98,2.85,1.2037963886718184e+35
PSR_J0030_Riley,NICER,1.3061335549270197,12.787657435391113,0.15082274059676268,946.885104389163,2.976297284645282,34.38,3.0,2.98,2.85,1.3061335549270196e+35
PSR_J0030_Riley,NICER,1.2583425913212227,12.837560978166346,0.1447393479827506,1235.387414239186,3.0918031725607533,34.38,3.0,2.98,2.85,1.2583425913212226e+35
PSR_J0030_Riley,NICER,1.3963547027518508,12.019265506593376,0.17154894756235328,443.3092942539795,2.6467068366476383,34.38,3.0,2.98,2.85,1.3963547027518508e+35
PSR_J0030_Riley,NICER,1.2497440081655906,14.84011991218528,0.12435231879606524,3177.984230990246,3.502151737927713,34.38,3.0,2.98,2.85,1.2497440081655905e+35
PSR_J0030_Riley,NICER,1.181343360656615,13.655926648918669,0.12773949779011504,2563.9683667440604,3.4089126627214887,34.38,3.0,2.98,2.85,1.181343360656615e+35
PSR_J0030_Riley,NICER,1.3713295392507134,10.456379357538259,0.19365590089148385,185.54533321857937,2.268450035575628,34.38,3.0,2.98,2.85,1.3713295392507133e+35
PSR_J0030_Riley,NICER,1.3695291853803686,13.559236566994723,0.14914417245482034,1101.4833381012832,3.04197793205837,34.38,3.0,2.98,2.85,1.3695291853803686e+35
PSR_J0030_Riley,NICER,1.322652757641764,12.36373075007232,0.15796706094745422,707.6184562727437,2.849799151757298,34.38,3.0,2.98,2.85,1.3226527576417639e+35
PSR_J0030_Riley,NICER,1.2320233687407938,12.180265413396246,0.14935935468363812,1139.7279287009812,3.0568011906645816,34.38,3.0,2.98,2.85,1.2320233687407937e+35
PSR_J0030_Riley,NICER,1.3915427434352692,10.682503821332856,0.19235068133613226,211.64635049297974,2.325610784152219,34.38,3.0,2.98,2.85,1.3915427434352692e+35
PSR_J0030_Riley,NICER,1.2822376579375525,11.931539699648148,0.1586873368844735,765.2068310850286,2.8837788383668777,34.38,3.0,2.98,2.85,1.2822376579375524e+35
PSR_J0030_Riley,NICER,1.4946499283743928,13.780972136983628,0.16015107785730992,671.2028023872931,2.8268537610786844,34.38,3.0,2.98,2.85,1.4946499283743927e+35
PSR_J0030_Riley,NICER,1.293618143622318,13.090952946114099,0.14591672417583856,1308.9246823651683,3.1169146572655966,34.38,3.0,2.98,2.85,1.293618143622318e+35
PSR_J0030_Riley,NICER,1.2681238643232067,12.496492176836611,0.14984552881029614,1002.4260998584554,3.0010523657244628,34.38,3.0,2.98,2.85,1.2681238643232067e+35
PSR_J0030_Riley,NICER,1.1605690063878995,13.644404695753328,0.1255991241879259,3209.727222755936,3.506468125649228,34.38,3.0,2.98,2.85,1.1605690063878994e+35
PSR_J0030_Riley,NICER,1.32919848176295,13.86406283257583,0.14156945283042005,1524.6639301218836,3.183174126057824,34.38,3.0,2.98,2.85,1.32919848176295e+35
PSR_J0030_Riley,NICER,1.2432320368092316,13.125604946334677,0.1398630836213937,1733.7775484138574,3.2389933747469923,34.38,3.0,2.98,2.85,1.2432320368092315e+35
PSR_J0030_Riley,NICER,1.3346260941335073,14.509340204186108,0.13582577222177897,1663.5047894594302,3.221024055600277,34.38,3.0,2.98,2.85,1.3346260941335073e+35
PSR_J0030_Riley,NICER,1.4632853756562836,12.810104128473897,0.16867340307453696,494.797715261025,2.694427685597705,34.38,3.0,2.98,2.85,1.4632853756562835e+35
PSR_J0030_Riley,NICER,1.3537641164803254,10.424295748208975,0.19176374782160466,210.37869071542212,2.323001747965615,34.38,3.0,2.98,2.85,1.3537641164803253e+35
PSR_J0030_Riley,NICER,1.393566885726762,14.409578151452743,0.1428061089655424,1384.6501111502312,3.1413400448849913,34.38,3.0,2.98,2.85,1.393566885726762e+35
PSR_J0030_Riley,NICER,1.218725959566022,12.132979399877783,0.14832311463452977,1181.3798159982487,3.0723895466170172,34.38,3.0,2.98,2.85,1.218725959566022e+35
PSR_J0030_Riley,NICER,1.3893126664489528,12.100775765667906,0.16953408116723537,498.4228636278777,2.697597956042117,34.38,3.0,2.98,2.85,1.3893126664489528e+35
PSR_J0030_Riley,NICER,1.354561632402206,13.823941739112824,0.14468953145360497,1267.4465401501204,3.1029296502085746,34.38,3.0,2.98,2.85,1.354561632402206e+35
PSR_J0030_Riley,NICER,1.2908506780103348,12.25907562389802,0.15548500716017433,782.1918754591576,2.8933133006705987,34.38,3.0,2.98,2.85,1.2908506780103348e+35
PSR_J0030_Riley,NICER,1.3844180415596865,13.010213563006873,0.15712781079014887,790.3480377942949,2.8978183794021546,34.38,3.0,2.98,2.85,1.3844180415596864e+35
PSR_J0030_Riley,NICER,1.304811929993728,11.082323646642024,0.17385505577653088,403.42347327184785,2.605761164119312,34.38,3.0,2.98,2.85,1.304811929993728e+35
PSR_J0030_Riley,NICER,1.2885928225209846,11.787381140395139,0.161424190199336,660.8659410276466,2.820113370262164,34.38,3.0,2.98,2.85,1.2885928225209846e+35
PSR_J0030_Riley,NICER,1.400607628522181,14.87911378639211,0.13899835397422022,1684.982963277412,3.2265955141141736,34.38,3.0,2.98,2.85,1.4006076285221808e+35
PSR_J0030_Riley,NICER,1.3786325586084147,12.62438719686891,0.16125324375797304,606.3943065433635,2.7827551150375722,34.38,3.0,2.98,2.85,1.3786325586084148e+35
PSR_J0030_Riley,NICER,1.3360229186826176,12.779264741432181,0.15437546398119495,991.2229614079575,2.996171353797055,34.38,3.0,2.98,2.85,1.3360229186826176e+35
PSR_J0030_Riley,NICER,1.3111458552828317,13.056779443683656,0.14828088633093223,1129.6792073738966,3.0529551353007065,34.38,3.0,2.98,2.85,1.3111458552828316e+35
