object_name,M,M_err,R,R_err,C,Lambda,log10_Lambda,type
PSR_J0030_Riley,1.34,0.15,12.71,1.15,0.15567880265460268,837.3995908450721,2.9229327443582083,NICER
PSR_J0740_Riley,2.072,0.067,12.39,0.85,0.246938428280226,33.269957292626195,1.5220522433819368,NICER
PSR_J0437_NICER,1.418,0.037,11.36,0.85,0.18431816342411972,278.8748465393869,2.4454093443062703,NICER
X7_47Tuc,1.4,0.16,11.1,0.8,0.1862409986846847,259.8965750488655,2.414800556349111,qLMXB
omega_Cen,1.4,0.3,11.3,1.1,0.18294469782300884,293.3431039315359,2.4673758830426054,qLMXB
M13,1.38,0.25,12.2,1.1,0.1670280806704918,535.255017128871,2.728560746776699,qLMXB
U24_NGC6397,1.45,0.25,11.1,1.2,0.1928924629234234,204.25828564151735,2.3101796825136582,qLMXB
4U_1608_522,1.57,0.3,12.0,1.2,0.1931917788141667,202.07687641815582,2.305516620202333,PRE_Burst
EXO_1745_248,1.4,0.2,11.5,1.0,0.17976305090434783,330.0633285911684,2.5185972750870538,PRE_Burst
KS_1731_260,1.4,0.2,10.9,1.0,0.18965826471559633,229.5142503638171,2.360809655721804,PRE_Burst
4U_1820_30,1.58,0.06,11.2,0.6,0.2083096068196429,118.77756734723802,2.0747344263586687,PRE_Burst
SAX_J1748_2021,1.6,0.2,11.7,1.0,0.2019316322735043,148.2487634245081,2.1709910795057614,PRE_Burst
4U_1702_429,1.9,0.3,12.4,0.4,0.22625706579838709,64.84079705051685,1.8118483447408469,PRE_Burst
MXB_1730_335,1.4,0.3,11.4,1.2,0.18133991977192981,311.2806440389072,2.493152116350859,PRE_Burst
4U_1724_307,1.56,0.25,11.5,1.1,0.20030739957913044,156.94855749390499,2.195757328476226,PRE_Burst
GW170817_Star1,1.46,0.08,11.9,1.4,0.1811657637865546,313.29729801604424,2.495956649392454,GW_Merger
GW170817_Star2,1.27,0.08,11.9,1.4,0.15758939726638654,775.7069262688657,2.8896976692666927,GW_Merger
GW190425_Star1,1.74,0.1,12.0,1.5,0.21411063384499998,97.3900292324315,1.9885144961908052,GW_Merger
